Metric,Value
Model,llama3_1_8b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,326.09919238090515
AVG. Time / Prompt,0.6521983847618104
AVG. Tokens / Second,995.5743760959107
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,324656
AVG. Output Tokens / Prompt,649.312
Total Emissions,0.02501678444028116
Emissions / 1.000.000 Input Tokens,0.3702296020523769
Emissions / 1.000.000 Output Tokens,0.07705628246599834
Emissions / 10.000 Prompts,0.5003356888056232
