Metric,Value
Model,llama3_1_8b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,3182.9245522022247
AVG. Time / Prompt,6.365849104404449
AVG. Tokens / Second,71.23228850747671
Total Input Tokens,323272
AVG. Input Tokens / Prompt,646.544
Total Output Tokens,226727
AVG. Output Tokens / Prompt,453.454
Total Emissions,0.16908866229628428
Emissions / 1.000.000 Input Tokens,0.5230538441197637
Emissions / 1.000.000 Output Tokens,0.7457808831602953
Emissions / 10.000 Prompts,3.3817732459256855
