Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,629.251669883728
AVG. Time / Prompt,1.258503339767456
AVG. Tokens / Second,563.2786005406923
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,354444
AVG. Output Tokens / Prompt,708.888
Total Emissions,0.04992913286838602
Emissions / 1.000.000 Input Tokens,0.11417697136124276
Emissions / 1.000.000 Output Tokens,0.14086606873973326
Emissions / 10.000 Prompts,0.9985826573677203
