Metric,Value
Model,llama3_1_8b_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,324.84405875205994
AVG. Time / Prompt,0.6496881175041199
AVG. Tokens / Second,1056.5407947385572
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,343211
AVG. Output Tokens / Prompt,686.422
Total Emissions,0.023846352754166238
Emissions / 1.000.000 Input Tokens,0.35290809303053433
Emissions / 1.000.000 Output Tokens,0.06948015289185439
Emissions / 10.000 Prompts,0.4769270550833248
