Metric,Value
Model,llama3_1_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,346.71801018714905
AVG. Time / Prompt,0.6934360203742981
AVG. Tokens / Second,998.540571379964
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,346212
AVG. Output Tokens / Prompt,692.424
Total Emissions,0.026279697531832822
Emissions / 1.000.000 Input Tokens,0.3889197663469953
Emissions / 1.000.000 Output Tokens,0.07590637393225197
Emissions / 10.000 Prompts,0.5255939506366564
