Metric,Value
Model,llama3_70b
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,1541.6055586338043
AVG. Time / Prompt,3.0832111172676084
AVG. Tokens / Second,196.68390419447417
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,303209
AVG. Output Tokens / Prompt,606.418
Total Emissions,0.2865517404191732
Emissions / 1.000.000 Input Tokens,4.240750328087096
Emissions / 1.000.000 Output Tokens,0.9450634394730143
Emissions / 10.000 Prompts,5.731034808383464
