Metric,Value
Model,llama3_70b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,909.5509576797485
AVG. Time / Prompt,1.8191019153594972
AVG. Tokens / Second,338.1470795045791
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,307562
AVG. Output Tokens / Prompt,615.124
Total Emissions,0.151855237750349
Emissions / 1.000.000 Input Tokens,2.2473433536627994
Emissions / 1.000.000 Output Tokens,0.4937386209946255
Emissions / 10.000 Prompts,3.0371047550069803
