Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,1175.9594705104828
AVG. Time / Prompt,2.3519189410209655
AVG. Tokens / Second,73.14622838375553
Total Input Tokens,155556
AVG. Input Tokens / Prompt,311.112
Total Output Tokens,86017
AVG. Output Tokens / Prompt,172.034
Total Emissions,0.06631950362984898
Emissions / 1.000.000 Input Tokens,0.42633844808203464
Emissions / 1.000.000 Output Tokens,0.7710046110634989
Emissions / 10.000 Prompts,1.3263900725969795
