Metric,Value
Model,mistral_nemo_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,335.65952944755554
AVG. Time / Prompt,0.6713190588951111
AVG. Tokens / Second,816.8574878576169
Total Input Tokens,71595
AVG. Input Tokens / Prompt,143.19
Total Output Tokens,274186
AVG. Output Tokens / Prompt,548.372
Total Emissions,0.024907444531201754
Emissions / 1.000.000 Input Tokens,0.3478936312759516
Emissions / 1.000.000 Output Tokens,0.0908414161598395
Emissions / 10.000 Prompts,0.49814889062403506
