Metric,Value
Model,mistral_nemo
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,684.0547411441803
AVG. Time / Prompt,1.3681094822883606
AVG. Tokens / Second,465.5168378299152
Total Input Tokens,460608
AVG. Input Tokens / Prompt,921.216
Total Output Tokens,318439
AVG. Output Tokens / Prompt,636.878
Total Emissions,0.05703484673185127
Emissions / 1.000.000 Input Tokens,0.12382513271990775
Emissions / 1.000.000 Output Tokens,0.1791076053242576
Emissions / 10.000 Prompts,1.1406969346370255
