Metric,Value
Model,mistral_nemo_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,338.2825744152069
AVG. Time / Prompt,0.6765651488304139
AVG. Tokens / Second,868.383482382516
Total Input Tokens,71595
AVG. Input Tokens / Prompt,143.19
Total Output Tokens,293759
AVG. Output Tokens / Prompt,587.518
Total Emissions,0.025574485488689732
Emissions / 1.000.000 Input Tokens,0.357210496385079
Emissions / 1.000.000 Output Tokens,0.08705941090720534
Emissions / 10.000 Prompts,0.5114897097737946
