Metric,Value
Model,mistral_nemo_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,751.8117694854736
AVG. Time / Prompt,1.5036235389709474
AVG. Tokens / Second,430.02386118703436
Total Input Tokens,460608
AVG. Input Tokens / Prompt,921.216
Total Output Tokens,323297
AVG. Output Tokens / Prompt,646.594
Total Emissions,0.0596205379928259
Emissions / 1.000.000 Input Tokens,0.129438780900084
Emissions / 1.000.000 Output Tokens,0.18441413929861986
Emissions / 10.000 Prompts,1.1924107598565181
